,Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
2870,Ford,fiesta_kinetic_design,2016,1.6 Se 120cv,46000,315000,5.0,hatchback,Bs.as. G.b.a. Sur
2871,Ford,ecosport,2017,1.6 Se 110cv 4x2,12000,475000,5.0,suv,Bs.as. Costa Atlántica
2872,Volkswagen,vento,2011,2.0 Sportline Tsi 200cv Dgs,140000,355000,4.0,sedan,Capital Federal
2873,Ford,focus_iii,2015,2.0 Se Plus Mt,35000,520000,5.0,hatchback,Bs.as. G.b.a. Norte
2874,Volkswagen,tiguan,2012,2.0 Premium I 140cv Tiptronic,50000,530000,5.0,suv,Bs.as. G.b.a. Norte
2875,Volkswagen,amarok,2013,2.0 Cd Tdi 4x4 Highline Pack At C34,105000,560000,4.0,pick_up,Buenos Aires Interior
2876,Ford,ecosport,2014,1.6 Se 110cv 4x2,90000,350000,5.0,suv,Formosa
2877,Volkswagen,gol_country,2012,1.4 Power (aa+dh) 83cv,108000,178000,5.0,rural,Buenos Aires Interior
2878,Volkswagen,amarok,2013,2.0 Cd Tdi 180cv 4x2 Trendline B33,140000,570000,4.0,pick_up,Bs.as. G.b.a. Sur
2879,Ford,ecosport,2013,2.0 Titanium 143cv 4x2,50000,310000,5.0,suv,Bs.as. G.b.a. Norte
2880,Ford,ka,2012,1.0 Fly 63cv,88000,175000,3.0,hatchback,Buenos Aires Interior
2881,Volkswagen,golf,2012,2.0 Vi Gti Tsi 211cv Dsg,81000,660000,5.0,hatchback,Buenos Aires Interior
2882,Honda,city,2014,1.5 Ex-l At 120cv,52000,350000,4.0,sedan,Buenos Aires Interior
2883,Volkswagen,gol_trend,2011,1.6 Pack I 101cv,125000,188000,5.0,hatchback,Bs.as. G.b.a. Sur
2884,Ford,focus_iii,2017,2.0 Se,19000,559000,5.0,hatchback,Bs.as. G.b.a. Norte
2885,Ford,focus_iii,2016,2.0 Se,50000,495000,5.0,hatchback,Córdoba
2886,Volkswagen,gol_trend,2011,1.6 Pack Iii + Abs,78623,195000,5.0,hatchback,Bs.as. G.b.a. Sur
2887,Volkswagen,gol,2013,1.4 Power 83cv 5 p,52500,150000,5.0,hatchback,Mendoza
2888,Volkswagen,fox,2013,1.6 Trendline,77000,210000,5.0,hatchback,Bs.as. G.b.a. Norte
2889,Ford,kuga,2012,2.5 Trend Mt 4x4 (ku01/ku04),76000,380000,5.0,suv,Santa Fe
2890,Volkswagen,gol_trend,2015,1.6 Trendline 101cv,31000,235000,5.0,hatchback,Bs.as. G.b.a. Sur
2891,Volkswagen,bora,2013,2.0 Trendline 115cv,82000,272000,4.0,sedan,Bs.as. G.b.a. Sur
2892,Volkswagen,gol_trend,2015,1.6 Highline 101cv,29000,250000,5.0,hatchback,Bs.as. G.b.a. Sur
2893,Ford,fiesta_kinetic_design,2017,1.6 Se Powershift 120cv,15500,350000,5.0,hatchback,Capital Federal
2894,Volkswagen,bora,2012,2.0 Trendline 115cv,75000,245000,4.0,sedan,Mendoza
2895,Volkswagen,vento,2011,2.0 Advance I 110cv,145000,320000,4.0,sedan,Buenos Aires Interior
2896,Ford,fiesta_kinetic_design,2014,1.6 Se Plus 120cv,56000,345000,5.0,hatchback,Bs.as. G.b.a. Norte
2897,Ford,ecosport,2012,2.0 My10 Xls 4x2,61500,272500,5.0,suv,Capital Federal
2898,Honda,fit,2013,1.5 Ex-l At 120cv,69000,330000,5.0,hatchback,Santa Fe
2899,Volkswagen,fox,2014,1.6 Confortline Pack,62000,239000,5.0,hatchback,Bs.as. G.b.a. Norte
2900,Ford,fiesta_kinetic_design,2015,1.6 Titanium Powershift 120cv,65000,395000,5.0,hatchback,Bs.as. G.b.a. Oeste
2901,Volkswagen,golf,2017,1.4 Highline Tsi Dsg,15500,840000,5.0,hatchback,Bs.as. G.b.a. Oeste
2902,Ford,focus_iii,2017,2.0 Sedan Titanium At6,20000,650000,4.0,sedan,Bs.as. G.b.a. Norte
2903,Ford,focus_iii,2016,1.6 Sedan S,60000,420000,4.0,sedan,Buenos Aires Interior
2904,Ford,focus_iii,2018,1.6 S,11500,620000,5.0,hatchback,Bs.as. G.b.a. Oeste
2905,Volkswagen,gol_trend,2011,1.6 Pack I 101cv,158200,160000,5.0,hatchback,Mendoza
2906,Volkswagen,suran,2011,1.6 Highline 101cv 11c,111000,195000,5.0,minivan,Córdoba
2907,Mercedes Benz,sprinter,2015,2.1 415 Furgon 3665 Tn V1 Aa,25300,990000,2.0,furgon,Bs.as. G.b.a. Oeste
2908,Ford,focus_ii,2011,1.6 Trend Sigma,65000,210000,5.0,hatchback,Bs.as. G.b.a. Sur
2909,Ford,focus_iii,2015,2.0 Sedan Se Plus At6,32000,419700,4.0,sedan,Capital Federal
2910,Ford,fiesta_kinetic_design,2013,1.6 Design 120cv Titanium,50000,240000,5.0,hatchback,Bs.as. G.b.a. Norte
2911,Volkswagen,passat,2012,2.0 Luxury Tsi 211cv,108000,440000,4.0,sedan,Bs.as. G.b.a. Oeste
2912,Ford,fiesta_kinetic_design,2012,1.6 Design 120cv Titanium,120000,260000,5.0,hatchback,Bs.as. G.b.a. Sur
2913,Ford,fiesta_kinetic_design,2015,1.6 S Plus 120cv,79000,285000,5.0,hatchback,Bs.as. G.b.a. Sur
2914,Volkswagen,amarok,2013,2.0 Cd Tdi 180cv 4x4 Trendline B34,120000,560000,4.0,pick_up,Bs.as. Costa Atlántica
2915,Volkswagen,the_beetle,2015,1.4 Design Dsg,12000,570000,3.0,hatchback,Bs.as. G.b.a. Sur
2916,Ford,ka,2012,1.0 Fly 63cv,45000,150000,3.0,hatchback,Entre Ríos
2917,Ford,ranger,2016,3.2 Cd 4x4 Limited Tdci 200cv,33000,1000000,4.0,pick_up,Buenos Aires Interior
2918,Volkswagen,gol_trend,2015,1.6 Pack Ii 101cv,56000,240000,5.0,hatchback,Buenos Aires Interior
2919,Volkswagen,bora,2013,1.8 Highline T Tiptronic Cuero,75000,320000,4.0,sedan,Bs.as. G.b.a. Oeste
2920,Volkswagen,vento,2013,2.5 Luxury 170cv,115000,355000,4.0,sedan,Bs.as. G.b.a. Oeste
2921,Ford,fiesta_kinetic_design,2013,1.6 Titanium 120cv,54000,295000,5.0,hatchback,Bs.as. G.b.a. Norte
